time_s,in0_v,in1_v
282.030538,1.267163,2.912614
282.231531,1.314320,2.878897
282.431561,1.338912,2.831793
282.631564,1.356135,2.803724
282.831541,1.369122,2.796869
283.031543,1.372560,2.793229
283.231545,1.368600,2.808098
288.741645,1.276376,2.901791
288.943662,1.229268,2.960310
289.144646,1.169970,3.023300
289.346652,1.123706,3.080185
289.542633,1.093534,3.091844
289.741616,1.096354,3.098997
289.941621,1.111677,3.065662
290.141617,1.153247,3.036082
290.341662,1.206322,2.966782
290.541639,1.260743,2.908183
290.741649,1.320958,2.858762
290.941640,1.376839,2.802784
291.140638,1.414971,2.762962
291.341671,1.428862,2.740320
291.541670,1.426385,2.733691
291.740652,1.407136,2.755098
291.940655,1.372700,2.788382
292.140644,1.332742,2.835135
297.657752,1.161894,3.027101
297.859758,1.125038,3.079926
298.060763,1.077326,3.100260
298.257742,1.078022,3.118450
298.457748,1.084884,3.092268
298.656750,1.119582,3.059519
298.861707,1.181098,3.001325
299.056781,1.245992,2.934359
299.256735,1.304722,2.862049
299.457747,1.360262,2.803916
299.657726,1.410512,2.753025
299.861715,1.446357,2.728240
300.057728,1.451174,2.719621
300.257743,1.432191,2.733521
300.457747,1.384420,2.763166
300.657752,1.361671,2.804707
300.861720,1.301142,2.861620
301.057741,1.252520,2.930688
306.567866,1.156355,3.022127
306.769820,1.126130,3.062929
306.970795,1.110630,3.096343
307.172810,1.120714,3.078536
307.366841,1.135624,3.062185
307.566813,1.181543,3.026920
307.770796,1.227195,2.971563
307.967804,1.284992,2.909785
308.167828,1.326805,2.851865
308.366856,1.370550,2.803559
308.566857,1.411221,2.768560
308.770827,1.406580,2.763344
308.966819,1.407791,2.775684
309.166855,1.383312,2.794649
309.366868,1.341524,2.837680
309.566840,1.288802,2.888607
309.770842,1.253902,2.926313
309.966838,1.209567,2.982010
315.465975,1.224502,2.979543
315.667911,1.192168,2.996494
315.868902,1.160821,3.017631
316.064922,1.147485,3.023922
316.264905,1.154090,3.026571
316.464958,1.167539,3.005063
316.669959,1.194196,2.986693
316.865946,1.231021,2.951129
317.065917,1.257702,2.905544
317.265953,1.289639,2.881718
317.465972,1.322064,2.853873
317.669943,1.331759,2.833690
317.865941,1.339548,2.820921
318.065939,1.340197,2.827544
318.265947,1.340544,2.844020
318.466005,1.309245,2.861986
318.668973,1.298974,2.895779
318.865959,1.257993,2.917774
324.381068,1.218775,2.967498
324.583027,1.175245,3.003015
324.784033,1.157295,3.035977
324.980013,1.133991,3.043726
325.180025,1.135795,3.052940
325.380053,1.152690,3.033032
325.584041,1.179879,3.004084
325.780062,1.210110,2.964483
325.980036,1.258576,2.929380
326.180047,1.299220,2.875011
326.380086,1.325195,2.842175
326.584079,1.353176,2.820319
326.780096,1.363753,2.806492
326.980043,1.367264,2.813283
327.180063,1.356310,2.831060
327.380092,1.337826,2.846138
327.584058,1.295118,2.873693
327.780069,1.271711,2.913672
333.274194,1.234089,2.969825
333.476171,1.177844,3.024727
333.677145,1.134392,3.073693
333.873162,1.112225,3.096516
334.073191,1.100311,3.087776
334.273163,1.116313,3.072381
334.478186,1.159051,3.043623
334.674154,1.212010,2.988413
334.874151,1.250882,2.930282
335.074155,1.313753,2.880072
335.274156,1.352354,2.817700
335.477201,1.387105,2.786234
335.674195,1.402053,2.768282
335.874167,1.411504,2.767572
336.075238,1.399874,2.782092
336.273189,1.374017,2.805979
336.477215,1.324287,2.843421
336.674215,1.283447,2.903637
342.188338,1.144997,3.054834
342.390280,1.118181,3.099460
342.591255,1.081427,3.112690
342.787276,1.084741,3.121282
342.989339,1.107146,3.083641
343.188328,1.158546,3.030208
343.393324,1.216619,2.975975
343.588278,1.279225,2.910003
343.788288,1.345167,2.838789
343.987309,1.395144,2.772185
344.187316,1.426324,2.746376
344.388328,1.440901,2.727494
344.587301,1.432105,2.732846
344.787328,1.411971,2.759696
344.987307,1.371775,2.806467
345.187306,1.322678,2.858832
345.387333,1.274408,2.923229
345.587324,1.207133,2.974793
351.087448,1.159816,3.022481
351.288403,1.135750,3.069666
351.490458,1.104739,3.096586
351.686409,1.106774,3.091673
351.886445,1.130068,3.071381
352.086435,1.162943,3.015762
352.286404,1.214511,2.951883
352.486450,1.276466,2.905331
352.686452,1.326178,2.844117
352.886422,1.369732,2.796247
353.086457,1.400494,2.762042
353.286413,1.430830,2.760439
353.486468,1.413171,2.752671
353.686432,1.401133,2.773772
353.886439,1.361487,2.812477
354.086469,1.321643,2.864694
354.286439,1.269801,2.912389
354.486474,1.220340,2.966880
360.001598,1.255291,2.934483
360.203568,1.227934,2.964930
360.404578,1.193494,2.989368
360.600562,1.172903,3.021875
360.802556,1.161063,3.039143
361.001587,1.168099,3.035690
361.201579,1.182213,3.015931
361.401590,1.209724,2.984271
361.601623,1.245781,2.946529
361.801584,1.274597,2.909656
362.001612,1.301820,2.873778
362.201608,1.334182,2.835440
362.400607,1.357322,2.823945
362.600601,1.365368,2.819568
362.800588,1.364027,2.814491
363.000588,1.349049,2.826914
363.200565,1.333635,2.846458
363.400599,1.317337,2.874157
368.915711,1.325272,2.854808
369.117693,1.315410,2.870279
369.318687,1.306214,2.898138
369.514667,1.269775,2.925043
369.716654,1.238397,2.948413
369.914673,1.215841,2.974317
370.114674,1.199007,2.991317
370.315701,1.190532,2.998074
370.515714,1.188578,3.001693
370.715672,1.197734,2.986275
370.915737,1.210956,2.968821
371.115700,1.232632,2.930616
371.315724,1.265432,2.914478
371.515727,1.280589,2.896485
371.715706,1.298989,2.882612
371.915699,1.315745,2.857389
372.115745,1.331857,2.852685
372.315741,1.326553,2.843625
377.824861,1.377512,2.800033
378.026844,1.392746,2.780593
378.227843,1.402710,2.778291
378.423861,1.384683,2.801547
378.625833,1.340676,2.837277
378.824836,1.311560,2.887887
379.024854,1.240389,2.932649
379.224873,1.204454,2.979879
379.424858,1.162169,3.020268
379.624833,1.139172,3.054993
379.824817,1.129263,3.069780
380.024841,1.140193,3.061085
380.224845,1.155374,3.030549
380.424875,1.184468,2.995584
380.624863,1.221577,2.958282
380.824826,1.273442,2.927571
381.024832,1.305915,2.876768
381.224861,1.339294,2.830605
386.723008,1.403625,2.780102
386.923938,1.428513,2.737624
387.124997,1.434088,2.731570
387.326980,1.422983,2.752639
387.522955,1.399955,2.795065
387.722945,1.338114,2.851101
387.922946,1.274273,2.925828
388.121975,1.218545,2.989189
388.321994,1.158782,3.051042
388.524008,1.122437,3.097686
388.721971,1.103998,3.123386
388.921963,1.094634,3.124262
389.122029,1.109755,3.098774
389.323037,1.144360,3.058136
389.522987,1.184262,3.028810
389.722986,1.237462,2.962521
389.922990,1.289160,2.912212
390.122993,1.341341,2.865928
395.623136,1.368989,2.787000
395.824091,1.396677,2.764546
396.026076,1.404355,2.753889
396.222145,1.392501,2.770575
396.424136,1.373136,2.809122
396.623110,1.310053,2.856546
396.823098,1.259073,2.925257
397.022104,1.205954,2.990730
397.222144,1.153533,3.025633
397.422147,1.123227,3.074891
397.622118,1.102225,3.096618
397.822118,1.097749,3.078705
398.022111,1.110446,3.047686
398.222115,1.150989,3.032166
398.422164,1.197055,2.980019
398.622118,1.250945,2.923092
398.822135,1.293545,2.876478
399.022130,1.335691,2.831158
404.539285,1.344085,2.817380
404.741254,1.371910,2.778034
404.942237,1.400944,2.771561
405.138248,1.403055,2.765983
405.340272,1.394371,2.791753
405.536246,1.362613,2.836735
405.738249,1.308105,2.880565
405.935243,1.247072,2.934899
406.135244,1.204518,2.996129
406.341293,1.157862,3.040948
406.535292,1.127969,3.069248
406.737291,1.117607,3.096677
406.935262,1.120025,3.079293
407.135272,1.131379,3.042888
407.341326,1.159398,3.013268
407.535274,1.206592,2.986890
407.737283,1.251046,2.932220
407.936286,1.290548,2.888575
413.431443,1.333000,2.822722
413.632392,1.387271,2.773969
413.837394,1.421315,2.738817
414.038397,1.442234,2.725251
414.231424,1.424454,2.741069
414.431441,1.380128,2.789878
414.631392,1.326055,2.842014
414.831392,1.258868,2.908067
415.031396,1.210394,2.979960
415.231404,1.153309,3.046934
415.431456,1.113818,3.087280
415.636406,1.090135,3.108817
415.831406,1.081954,3.106004
416.031421,1.103461,3.090183
416.231423,1.135367,3.058945
416.431469,1.185820,3.011427
416.636462,1.229130,2.942814
416.831452,1.289323,2.899640
422.343603,1.414434,2.772090
422.544590,1.408877,2.759549
422.746599,1.400312,2.760626
422.947608,1.377742,2.791507
423.142602,1.321300,2.835271
423.342614,1.270024,2.903269
423.545610,1.221633,2.968808
423.742595,1.157325,3.014998
423.942592,1.132574,3.065539
424.142617,1.104855,3.077387
424.342637,1.106371,3.084376
424.545630,1.114885,3.055059
424.742615,1.152130,3.033825
424.942623,1.198949,2.994675
425.142624,1.241738,2.945978
425.342649,1.294593,2.890044
425.545656,1.332792,2.842204
425.742636,1.377062,2.796512
431.256779,1.334005,2.853267
431.458755,1.307382,2.879115
431.659744,1.269533,2.910266
431.855750,1.242562,2.951744
432.055713,1.199136,2.975628
432.255712,1.182291,3.014629
432.459766,1.164974,3.019577
432.656762,1.171769,3.026067
432.856738,1.184225,3.016792
433.056731,1.200122,2.982747
433.256745,1.224969,2.955597
433.459761,1.258835,2.930949
433.656749,1.274256,2.877125
433.856743,1.307116,2.865652
434.056775,1.340910,2.845421
434.255798,1.342623,2.822838
434.459789,1.337763,2.814848
434.656777,1.346780,2.825954
440.155915,1.195377,2.987805
440.356907,1.169849,3.006613
440.558867,1.156794,3.045228
440.754863,1.162026,3.039827
440.954876,1.172589,3.024196
441.154868,1.197371,3.011975
441.358913,1.229950,2.955612
441.555906,1.269855,2.919410
441.755897,1.309009,2.889631
441.955887,1.337077,2.846817
442.155907,1.357037,2.816652
442.358940,1.371952,2.815834
442.555949,1.372536,2.811646
442.755911,1.355099,2.830149
442.955913,1.323559,2.851998
443.155925,1.297881,2.882626
443.358955,1.264646,2.917664
443.554917,1.235291,2.950019
449.070019,1.092453,3.096883
449.270948,1.100844,3.111886
449.472985,1.124471,3.086597
449.668982,1.165148,3.032287
449.868970,1.220849,2.970077
450.069007,1.277995,2.907481
450.272972,1.337909,2.852136
450.469999,1.394449,2.805921
450.670005,1.426666,2.765569
450.869991,1.431713,2.749618
451.070032,1.424640,2.761471
451.272985,1.408648,2.786312
451.470023,1.359003,2.830315
451.670034,1.322314,2.881321
451.870006,1.264295,2.928669
452.070001,1.217795,2.986028
452.273020,1.164013,3.038066
452.470462,1.131512,3.014749
457.980242,1.072896,3.097735
458.181225,1.116185,3.066903
458.383211,1.177983,3.004204
458.584188,1.228633,2.926665
458.780192,1.308788,2.861141
458.979199,1.371740,2.785666
459.179221,1.421503,2.744404
459.384222,1.450614,2.719856
459.579211,1.441710,2.715616
459.779212,1.410349,2.742012
459.979232,1.349289,2.794282
